0, 19, 0, 0, 0
1, 18, -2, 2, 0
2, 17, -4, 4, 0
3, 16, -6, 6, 0
4, 15, -8, 8, 0
5, 14, -10, 10, 0
6, 13, -12, 12, 0
7, 12, -14, 14, 0
8, 11, -16, 16, 0
9, 10, -18, 18, 0
10, 9, -20, 20, 0
11, 8, -22, 22, 0
12, 7, -24, 24, 0
13, 6, -26, 26, 0
14, 5, -28, 28, 0
15, 4, -30, 30, 0
16, 3, -32, 32, 0
17, 2, -34, 34, 0
18, 1, -36, 36, 0
19, 0, -38, 38, 0
0, 20, 1, -1, 0
1, 19, -1, 1, 0
2, 18, -3, 3, 0
3, 17, -5, 5, 0
4, 16, -7, 7, 0
5, 15, -9, 9, 0
6, 14, -11, 11, 0
7, 13, -13, 13, 0
8, 12, -15, 15, 0
9, 11, -17, 17, 0
10, 10, -19, 19, 0
11, 9, -21, 21, 0
12, 8, -23, 23, 0
13, 7, -25, 25, 0
14, 6, -27, 27, 0
15, 5, -29, 29, 0
16, 4, -31, 31, 0
17, 3, -33, 33, 0
18, 2, -35, 35, 0
19, 1, -37, 37, 0
20, 0, -39, 39, 0
0, 21, 1, 0, -1
1, 20, 1, -2, 1
2, 19, -1, 0, 1
3, 18, -3, 2, 1
4, 17, -5, 4, 1
5, 16, -7, 6, 1
6, 15, -9, 8, 1
7, 14, -11, 10, 1
8, 13, -13, 12, 1
9, 12, -15, 14, 1
10, 11, -17, 16, 1
11, 10, -19, 18, 1
12, 9, -21, 20, 1
13, 8, -23, 22, 1
14, 7, -25, 24, 1
15, 6, -27, 26, 1
16, 5, -29, 28, 1
17, 4, -31, 30, 1
18, 3, -33, 32, 1
19, 2, -35, 34, 1
20, 1, -37, 36, 1
21, 0, -39, 38, 1
1, 21, 2, 0, -2
2, 20, 2, -2, 0
3, 19, 0, 0, 0
4, 18, -2, 2, 0
5, 17, -4, 4, 0
6, 16, -6, 6, 0
7, 15, -8, 8, 0
8, 14, -10, 10, 0
9, 13, -12, 12, 0
10, 12, -14, 14, 0
11, 11, -16, 16, 0
12, 10, -18, 18, 0
13, 9, -20, 20, 0
14, 8, -22, 22, 0
15, 7, -24, 24, 0
16, 6, -26, 26, 0
17, 5, -28, 28, 0
18, 4, -30, 30, 0
19, 3, -32, 32, 0
20, 2, -34, 34, 0
21, 1, -36, 36, 0
22, 0, -38, 38, 0
1, 22, 3, -1, -2
2, 21, 3, -3, 0
3, 20, 1, -1, 0
4, 19, -1, 1, 0
5, 18, -3, 3, 0
6, 17, -5, 5, 0
7, 16, -7, 7, 0
8, 15, -9, 9, 0
9, 14, -11, 11, 0
10, 13, -13, 13, 0
11, 12, -15, 15, 0
12, 11, -17, 17, 0
13, 10, -19, 19, 0
14, 9, -21, 21, 0
15, 8, -23, 23, 0
16, 7, -25, 25, 0
17, 6, -27, 27, 0
18, 5, -29, 29, 0
19, 4, -31, 31, 0
20, 3, -33, 33, 0
21, 2, -35, 35, 0
22, 1, -37, 37, 0
2, 22, 3, -2, -1
3, 21, 3, -4, 1
4, 20, 1, -2, 1
5, 19, -1, 0, 1
6, 18, -3, 2, 1
7, 17, -5, 4, 1
8, 16, -7, 6, 1
9, 15, -9, 8, 1
10, 14, -11, 10, 1
11, 13, -13, 12, 1
12, 12, -15, 14, 1
13, 11, -17, 16, 1
14, 10, -19, 18, 1
15, 9, -21, 20, 1
16, 8, -23, 22, 1
17, 7, -25, 24, 1
18, 6, -27, 26, 1
19, 5, -29, 28, 1
20, 4, -31, 30, 1
21, 3, -33, 32, 1
22, 2, -35, 34, 1
23, 1, -37, 36, 1
2, 23, 2, -2, 0
3, 22, 2, -4, 2
4, 21, 4, -4, 0
5, 20, 2, -2, 0
6, 19, 0, 0, 0
7, 18, -2, 2, 0
8, 17, -4, 4, 0
9, 16, -6, 6, 0
10, 15, -8, 8, 0
11, 14, -10, 10, 0
12, 13, -12, 12, 0
13, 12, -14, 14, 0
14, 11, -16, 16, 0
15, 10, -18, 18, 0
16, 9, -20, 20, 0
17, 8, -22, 22, 0
18, 7, -24, 24, 0
19, 6, -26, 26, 0
20, 5, -28, 28, 0
21, 4, -30, 30, 0
22, 3, -32, 32, 0
23, 2, -34, 34, 0
24, 1, -36, 36, 0
3, 23, 1, -1, 0
4, 22, 1, -3, 2
5, 21, 3, -3, 0
6, 20, 1, -1, 0
7, 19, -1, 1, 0
8, 18, -3, 3, 0
9, 17, -5, 5, 0
10, 16, -7, 7, 0
11, 15, -9, 9, 0
12, 14, -11, 11, 0
13, 13, -13, 13, 0
14, 12, -15, 15, 0
15, 11, -17, 17, 0
16, 10, -19, 19, 0
17, 9, -21, 21, 0
18, 8, -23, 23, 0
19, 7, -25, 25, 0
20, 6, -27, 27, 0
21, 5, -29, 29, 0
22, 4, -31, 31, 0
23, 3, -33, 33, 0
24, 2, -35, 35, 0
3, 24, 1, 0, -1
4, 23, 1, -2, 1
5, 22, 3, -2, -1
6, 21, 1, 0, -1
7, 20, -1, 2, -1
8, 19, -1, 0, 1
9, 18, -3, 2, 1
10, 17, -5, 4, 1
11, 16, -7, 6, 1
12, 15, -9, 8, 1
13, 14, -11, 10, 1
14, 13, -13, 12, 1
15, 12, -15, 14, 1
16, 11, -17, 16, 1
17, 10, -19, 18, 1
18, 9, -21, 20, 1
19, 8, -23, 22, 1
20, 7, -25, 24, 1
21, 6, -27, 26, 1
22, 5, -29, 28, 1
23, 4, -31, 30, 1
24, 3, -33, 32, 1
25, 2, -35, 34, 1
4, 24, 2, 0, -2
5, 23, 2, -2, 0
6, 22, 0, 0, 0
7, 21, -2, 2, 0
8, 20, -2, 0, 2
9, 19, 0, 0, 0
10, 18, -2, 2, 0
11, 17, -4, 4, 0
12, 16, -6, 6, 0
13, 15, -8, 8, 0
14, 14, -10, 10, 0
15, 13, -12, 12, 0
16, 12, -14, 14, 0
17, 11, -16, 16, 0
18, 10, -18, 18, 0
19, 9, -20, 20, 0
20, 8, -22, 22, 0
21, 7, -24, 24, 0
22, 6, -26, 26, 0
23, 5, -28, 28, 0
24, 4, -30, 30, 0
25, 3, -32, 32, 0
26, 2, -34, 34, 0
4, 25, 3, -1, -2
5, 24, 3, -3, 0
6, 23, 1, -1, 0
7, 22, -1, 1, 0
8, 21, -3, 3, 0
9, 20, -3, 1, 2
10, 19, -1, 1, 0
11, 18, -3, 3, 0
12, 17, -5, 5, 0
13, 16, -7, 7, 0
14, 15, -9, 9, 0
15, 14, -11, 11, 0
16, 13, -13, 13, 0
17, 12, -15, 15, 0
18, 11, -17, 17, 0
19, 10, -19, 19, 0
20, 9, -21, 21, 0
21, 8, -23, 23, 0
22, 7, -25, 25, 0
23, 6, -27, 27, 0
24, 5, -29, 29, 0
25, 4, -31, 31, 0
26, 3, -33, 33, 0
5, 25, 3, -2, -1
6, 24, 1, 0, -1
7, 23, 1, -2, 1
8, 22, -1, 0, 1
9, 21, -3, 2, 1
10, 20, -1, 2, -1
11, 19, -1, 0, 1
12, 18, -3, 2, 1
13, 17, -5, 4, 1
14, 16, -7, 6, 1
15, 15, -9, 8, 1
16, 14, -11, 10, 1
17, 13, -13, 12, 1
18, 12, -15, 14, 1
19, 11, -17, 16, 1
20, 10, -19, 18, 1
21, 9, -21, 20, 1
22, 8, -23, 22, 1
23, 7, -25, 24, 1
24, 6, -27, 26, 1
25, 5, -29, 28, 1
26, 4, -31, 30, 1
27, 3, -33, 32, 1
5, 26, 2, -2, 0
6, 25, 0, 0, 0
7, 24, 2, 0, -2
8, 23, 2, -2, 0
9, 22, 0, 0, 0
10, 21, -2, 2, 0
11, 20, -2, 0, 2
12, 19, -4, 2, 2
13, 18, -6, 4, 2
14, 17, -4, 4, 0
15, 16, -6, 6, 0
16, 15, -8, 8, 0
17, 14, -10, 10, 0
18, 13, -12, 12, 0
19, 12, -14, 14, 0
20, 11, -16, 16, 0
21, 10, -18, 18, 0
22, 9, -20, 20, 0
23, 8, -22, 22, 0
24, 7, -24, 24, 0
25, 6, -26, 26, 0
26, 5, -28, 28, 0
27, 4, -30, 30, 0
28, 3, -32, 32, 0
6, 26, 1, -1, 0
7, 25, 3, -1, -2
8, 24, 3, -3, 0
9, 23, 1, -1, 0
10, 22, -1, 1, 0
11, 21, -1, -1, 2
12, 20, -3, 1, 2
13, 19, -5, 3, 2
14, 18, -7, 5, 2
15, 17, -5, 5, 0
16, 16, -7, 7, 0
17, 15, -9, 9, 0
18, 14, -11, 11, 0
19, 13, -13, 13, 0
20, 12, -15, 15, 0
21, 11, -17, 17, 0
22, 10, -19, 19, 0
23, 9, -21, 21, 0
24, 8, -23, 23, 0
25, 7, -25, 25, 0
26, 6, -27, 27, 0
27, 5, -29, 29, 0
28, 4, -31, 31, 0
6, 27, 1, 0, -1
7, 26, 3, 0, -3
8, 25, 3, -2, -1
9, 24, 3, -4, 1
10, 23, 1, -2, 1
11, 22, -1, 0, 1
12, 21, -1, -2, 3
13, 20, -3, 0, 3
14, 19, -5, 2, 3
15, 18, -7, 4, 3
16, 17, -5, 4, 1
17, 16, -7, 6, 1
18, 15, -9, 8, 1
19, 14, -11, 10, 1
20, 13, -13, 12, 1
21, 12, -15, 14, 1
22, 11, -17, 16, 1
23, 10, -19, 18, 1
24, 9, -21, 20, 1
25, 8, -23, 22, 1
26, 7, -25, 24, 1
27, 6, -27, 26, 1
28, 5, -29, 28, 1
29, 4, -31, 30, 1
7, 27, 2, 0, -2
8, 26, 2, -2, 0
9, 25, 2, -4, 2
10, 24, 0, -2, 2
11, 23, 2, -2, 0
12, 22, 0, 0, 0
13, 21, 0, -2, 2
14, 20, -2, 0, 2
15, 19, -4, 2, 2
16, 18, -6, 4, 2
17, 17, -4, 4, 0
18, 16, -6, 6, 0
19, 15, -8, 8, 0
20, 14, -10, 10, 0
21, 13, -12, 12, 0
22, 12, -14, 14, 0
23, 11, -16, 16, 0
24, 10, -18, 18, 0
25, 9, -20, 20, 0
26, 8, -22, 22, 0
27, 7, -24, 24, 0
28, 6, -26, 26, 0
29, 5, -28, 28, 0
30, 4, -30, 30, 0
7, 28, 3, -1, -2
8, 27, 3, -3, 0
9, 26, 1, -1, 0
10, 25, 1, -3, 2
11, 24, 3, -3, 0
12, 23, 1, -1, 0
13, 22, -1, 1, 0
14, 21, -1, -1, 2
15, 20, -3, 1, 2
16, 19, -5, 3, 2
17, 18, -3, 3, 0
18, 17, -5, 5, 0
19, 16, -7, 7, 0
20, 15, -9, 9, 0
21, 14, -11, 11, 0
22, 13, -13, 13, 0
23, 12, -15, 15, 0
24, 11, -17, 17, 0
25, 10, -19, 19, 0
26, 9, -21, 21, 0
27, 8, -23, 23, 0
28, 7, -25, 25, 0
29, 6, -27, 27, 0
30, 5, -29, 29, 0
8, 28, 3, -2, -1
9, 27, 1, 0, -1
10, 26, 1, -2, 1
11, 25, 3, -2, -1
12, 24, 1, 0, -1
13, 23, -1, 2, -1
14, 22, -1, 0, 1
15, 21, -1, -2, 3
16, 20, -3, 0, 3
17, 19, -5, 2, 3
18, 18, -3, 2, 1
19, 17, -5, 4, 1
20, 16, -7, 6, 1
21, 15, -9, 8, 1
22, 14, -11, 10, 1
23, 13, -13, 12, 1
24, 12, -15, 14, 1
25, 11, -17, 16, 1
26, 10, -19, 18, 1
27, 9, -21, 20, 1
28, 8, -23, 22, 1
29, 7, -25, 24, 1
30, 6, -27, 26, 1
31, 5, -29, 28, 1
8, 29, 2, -2, 0
9, 28, 4, -2, -2
10, 27, 2, 0, -2
11, 26, 2, -2, 0
12, 25, 0, 0, 0
13, 24, -2, 2, 0
14, 23, -2, 0, 2
15, 22, -2, -2, 4
16, 21, 0, -2, 2
17, 20, -2, 0, 2
18, 19, -4, 2, 2
19, 18, -2, 2, 0
20, 17, -4, 4, 0
21, 16, -6, 6, 0
22, 15, -8, 8, 0
23, 14, -10, 10, 0
24, 13, -12, 12, 0
25, 12, -14, 14, 0
26, 11, -16, 16, 0
27, 10, -18, 18, 0
28, 9, -20, 20, 0
29, 8, -22, 22, 0
30, 7, -24, 24, 0
31, 6, -26, 26, 0
32, 5, -28, 28, 0
9, 29, 1, -1, 0
10, 28, 3, -1, -2
11, 27, 3, -3, 0
12, 26, 1, -1, 0
13, 25, -1, 1, 0
14, 24, -1, -1, 2
15, 23, -1, -3, 4
16, 22, 1, -3, 2
17, 21, -1, -1, 2
18, 20, -3, 1, 2
19, 19, -1, 1, 0
20, 18, -3, 3, 0
21, 17, -5, 5, 0
22, 16, -7, 7, 0
23, 15, -9, 9, 0
24, 14, -11, 11, 0
25, 13, -13, 13, 0
26, 12, -15, 15, 0
27, 11, -17, 17, 0
28, 10, -19, 19, 0
29, 9, -21, 21, 0
30, 8, -23, 23, 0
31, 7, -25, 25, 0
32, 6, -27, 27, 0
9, 30, 1, 0, -1
10, 29, 1, -2, 1
11, 28, 3, -2, -1
12, 27, 1, 0, -1
13, 26, 1, -2, 1
14, 25, -1, 0, 1
15, 24, -1, -2, 3
16, 23, -1, -4, 5
17, 22, 1, -4, 3
18, 21, -1, -2, 3
19, 20, -3, 0, 3
20, 19, -1, 0, 1
21, 18, -3, 2, 1
22, 17, -5, 4, 1
23, 16, -7, 6, 1
24, 15, -9, 8, 1
25, 14, -11, 10, 1
26, 13, -13, 12, 1
27, 12, -15, 14, 1
28, 11, -17, 16, 1
29, 10, -19, 18, 1
30, 9, -21, 20, 1
31, 8, -23, 22, 1
32, 7, -25, 24, 1
